id,category_cluster
PG0001,"['Multiplayer', 'Gameplay', 'spaCy_noun', 'AI', 'Graphics']"
PG0002,"['Multiplayer', 'Gameplay', 'DRM', 'spaCy_noun', 'Performance', 'Controls/UX', 'Story', 'Graphics']"
PG0003,"['Audio', 'Balance', 'Story', 'Gameplay', 'DRM', 'spaCy_noun', 'Modding', 'AI', 'Progression', 'Performance', 'Controls/UX', 'Customer Support', 'Monetization', 'Graphics']"
PG0004,"['Audio', 'Multiplayer', 'Gameplay', 'spaCy_noun', 'Replayability', 'Innovation', 'AI', 'Progression', 'Customer Support', 'Story', 'Cinematics', 'Graphics']"
PG0005,"['Gameplay', 'spaCy_noun', 'Graphics', 'Progression']"
PG0006,"['Audio', 'Balance', 'Multiplayer', 'Story', 'Gameplay', 'spaCy_noun', 'AI', 'Progression', 'Performance', 'Customer Support', 'Innovation', 'Graphics']"
PG0007,"['Balance', 'Multiplayer', 'Gameplay', 'spaCy_noun', 'Customer Support', 'Story', 'Cinematics']"
PG0008,"['Audio', 'Multiplayer', 'Management', 'Gameplay', 'DRM', 'Platform', 'spaCy_noun', 'Replayability', 'Innovation', 'Performance', 'Customer Support', 'Story', 'Graphics']"
PG0009,"['Multiplayer', 'Gameplay', 'spaCy_noun', 'AI', 'Progression', 'Performance', 'Customer Support', 'Story', 'Cinematics']"
PG0010,"['Audio', 'Multiplayer', 'Gameplay', 'spaCy_noun', 'Modding', 'Innovation', 'Progression', 'Story']"
PG0011,"['Audio', 'Multiplayer', 'Gameplay', 'DRM', 'spaCy_noun', 'Performance', 'AI', 'Story', 'Cinematics', 'Graphics']"
PG0012,"['Audio', 'Multiplayer', 'Monetization', 'Gameplay', 'spaCy_noun', 'Replayability', 'AI', 'Performance', 'Progression', 'Controls/UX', 'Customer Support', 'Story', 'Graphics']"
PG0013,"['Audio', 'Multiplayer', 'Monetization', 'Gameplay', 'spaCy_noun', 'Performance', 'Progression', 'AI', 'Controls/UX', 'Customer Support', 'Story', 'Cinematics', 'Graphics']"
PG0014,"['Audio', 'Multiplayer', 'Story', 'Gameplay', 'spaCy_noun', 'Performance', 'Progression', 'Customer Support', 'Monetization', 'Cinematics', 'Graphics']"
PG0015,"['Audio', 'Balance', 'Multiplayer', 'Story', 'Gameplay', 'spaCy_noun', 'Modding', 'Replayability', 'AI', 'Performance', 'Business', 'Customer Support', 'Innovation', 'Graphics']"
PG0016,"['Audio', 'Multiplayer', 'Gameplay', 'spaCy_noun', 'Replayability', 'Progression', 'Monetization', 'Graphics']"
PG0017,"['Audio', 'Management', 'Gameplay', 'spaCy_noun', 'AI', 'Controls/UX', 'Customer Support', 'Story']"
PG0018,"['Audio', 'Balance', 'Multiplayer', 'Monetization', 'Gameplay', 'spaCy_noun', 'Innovation', 'Performance', 'Progression', 'AI', 'Controls/UX', 'Customer Support', 'Story', 'Graphics']"
PG0019,"['Audio', 'Multiplayer', 'Monetization', 'Gameplay', 'spaCy_noun', 'Replayability', 'Customer Support', 'Story', 'Graphics']"
PG0020,"['Community', 'Audio', 'Multiplayer', 'Monetization', 'Gameplay', 'DRM', 'Platform', 'spaCy_noun', 'Progression', 'Customer Support', 'Story', 'Graphics']"
PG0021,"['Audio', 'Balance', 'Multiplayer', 'Monetization', 'Gameplay', 'Platform', 'spaCy_noun', 'AI', 'Progression', 'Controls/UX', 'Customer Support', 'Story', 'Cinematics', 'Graphics']"
PG0022,"['Balance', 'Multiplayer', 'Monetization', 'Gameplay', 'spaCy_noun', 'Controls/UX', 'Customer Support', 'Story', 'Graphics']"
PG0023,"['Audio', 'Multiplayer', 'Gameplay', 'spaCy_noun', 'Replayability', 'AI', 'Performance', 'Controls/UX', 'Customer Support', 'Story', 'Graphics']"
PG0024,"['Audio', 'Multiplayer', 'Gameplay', 'DRM', 'Platform', 'spaCy_noun', 'Performance', 'Progression', 'Controls/UX', 'Customer Support', 'Story', 'Cinematics', 'Graphics']"
PG0025,"['Community', 'Audio', 'Balance', 'Multiplayer', 'Monetization', 'Gameplay', 'Platform', 'spaCy_noun', 'Modding', 'Performance', 'Progression', 'AI', 'Controls/UX', 'Customer Support', 'Story', 'Graphics']"
PG0026,"['Audio', 'Multiplayer', 'Monetization', 'Gameplay', 'spaCy_noun', 'Progression', 'Controls/UX', 'Story', 'Cinematics']"
PG0027,"['Audio', 'Gameplay', 'spaCy_noun', 'Innovation', 'Cinematics']"
PG0028,"['Multiplayer', 'Monetization', 'Story', 'Gameplay', 'DRM', 'spaCy_noun', 'Performance', 'AI', 'Progression', 'Controls/UX', 'Customer Support', 'Innovation']"
PG0029,"['Multiplayer', 'Gameplay', 'Platform', 'spaCy_noun', 'AI', 'Performance', 'Controls/UX', 'Customer Support', 'Story', 'Cinematics', 'Graphics']"
PG0030,"['Audio', 'Multiplayer', 'Monetization', 'Gameplay', 'DRM', 'spaCy_noun', 'Story']"
PG0031,"['Audio', 'Balance', 'Multiplayer', 'Story', 'Gameplay', 'DRM', 'Platform', 'spaCy_noun', 'Modding', 'AI', 'Progression', 'Business', 'Controls/UX', 'Customer Support', 'Innovation', 'Cinematics', 'Graphics']"
PG0032,"['Audio', 'Multiplayer', 'Monetization', 'Gameplay', 'spaCy_noun', 'Progression', 'Controls/UX', 'Customer Support', 'Story']"
PG0033,"['Audio', 'Monetization', 'Gameplay', 'spaCy_noun', 'Replayability', 'Controls/UX', 'Story', 'Graphics']"
PG0034,"['Audio', 'Multiplayer', 'Gameplay', 'DRM', 'spaCy_noun', 'AI', 'Progression', 'Customer Support', 'Story', 'Graphics']"
PG0035,"['Monetization', 'Gameplay', 'Platform', 'spaCy_noun', 'Modding', 'Progression', 'Story', 'Graphics']"
PG0036,"['Audio', 'Balance', 'Multiplayer', 'Story', 'Gameplay', 'Platform', 'spaCy_noun', 'AI', 'Progression', 'Controls/UX', 'Customer Support', 'Innovation', 'Graphics']"
PG0037,"['Audio', 'Balance', 'Multiplayer', 'Gameplay', 'Platform', 'spaCy_noun', 'Modding', 'Innovation', 'Performance', 'Progression', 'Controls/UX', 'Story', 'Graphics']"
PG0038,"['Audio', 'Multiplayer', 'spaCy_noun', 'Replayability', 'Controls/UX', 'Story', 'Graphics']"
PG0039,"['Audio', 'Multiplayer', 'Gameplay', 'spaCy_noun', 'Controls/UX', 'Story', 'Graphics']"
PG0040,"['Audio', 'Balance', 'Multiplayer', 'Gameplay', 'spaCy_noun', 'Innovation', 'AI', 'Performance', 'Story']"
PG0041,"['Audio', 'Multiplayer', 'Gameplay', 'DRM', 'spaCy_noun', 'Modding', 'Replayability', 'AI', 'Performance', 'Progression', 'Controls/UX', 'Customer Support', 'Story', 'Cinematics', 'Graphics']"
PG0042,"['Audio', 'Multiplayer', 'Gameplay', 'spaCy_noun', 'AI', 'Progression', 'Controls/UX', 'Customer Support', 'Story', 'Graphics']"
PG0043,"['Audio', 'Multiplayer', 'Gameplay', 'spaCy_noun', 'AI', 'Progression', 'Controls/UX', 'Customer Support', 'Story', 'Graphics']"
PG0044,"['Audio', 'Multiplayer', 'Gameplay', 'spaCy_noun', 'AI', 'Graphics']"
PG0045,"['Balance', 'Multiplayer', 'Gameplay', 'Platform', 'spaCy_noun', 'Story', 'Graphics']"
PG0046,"['Balance', 'Multiplayer', 'Monetization', 'Gameplay', 'spaCy_noun', 'Performance', 'Progression', 'Customer Support', 'Story', 'Graphics']"
PG0047,"['Multiplayer', 'Gameplay', 'Platform', 'spaCy_noun', 'Replayability', 'Customer Support', 'Story', 'Graphics']"
PG0048,"['Audio', 'Multiplayer', 'Management', 'Gameplay', 'spaCy_noun', 'Modding', 'AI', 'Story', 'Graphics']"
PG0049,"['Audio', 'Gameplay', 'spaCy_noun', 'Performance', 'Story']"
PG0050,"['Multiplayer', 'Gameplay', 'Platform', 'spaCy_noun', 'Performance', 'Progression', 'Customer Support', 'Story', 'Graphics']"
PG0051,"['Audio', 'Balance', 'Multiplayer', 'Gameplay', 'spaCy_noun', 'Controls/UX', 'Customer Support', 'Story', 'Cinematics', 'Graphics']"
PG0052,"['Audio', 'Multiplayer', 'Gameplay', 'DRM', 'spaCy_noun', 'Modding', 'Performance', 'Progression', 'AI', 'Customer Support', 'Story', 'Graphics']"
PG0053,"['Audio', 'Multiplayer', 'Gameplay', 'spaCy_noun', 'Story', 'Graphics']"
PG0054,"['Balance', 'Multiplayer', 'Management', 'Gameplay', 'spaCy_noun', 'Innovation', 'AI', 'Progression', 'Story']"
PG0055,"['Audio', 'Multiplayer', 'Gameplay', 'Platform', 'spaCy_noun', 'AI', 'Progression', 'Controls/UX', 'Customer Support', 'Story', 'Graphics']"
PG0056,"['Multiplayer', 'Monetization', 'Gameplay', 'DRM', 'spaCy_noun', 'Controls/UX', 'Customer Support', 'Story', 'Graphics']"
PG0057,"['Audio', 'Multiplayer', 'Gameplay', 'spaCy_noun', 'Innovation', 'Customer Support', 'Story', 'Cinematics']"
PG0058,"['Audio', 'Multiplayer', 'Management', 'Monetization', 'Gameplay', 'spaCy_noun', 'AI', 'Progression', 'Performance', 'Controls/UX', 'Customer Support', 'Story', 'Graphics']"
PG0059,"['Audio', 'Gameplay', 'spaCy_noun', 'Progression', 'Controls/UX', 'Story', 'Graphics']"
PG0060,"['Audio', 'Multiplayer', 'Gameplay', 'spaCy_noun', 'Performance', 'AI', 'Controls/UX', 'Customer Support', 'Story', 'Graphics']"
PG0061,"['Audio', 'Balance', 'Multiplayer', 'Monetization', 'Gameplay', 'Platform', 'spaCy_noun', 'Modding', 'Replayability', 'AI', 'Progression', 'Business', 'Controls/UX', 'Customer Support', 'Story', 'Cinematics', 'Graphics']"
PG0062,"['Audio', 'Multiplayer', 'Monetization', 'Story', 'Gameplay', 'Platform', 'spaCy_noun', 'AI', 'Progression', 'Controls/UX', 'Customer Support', 'Innovation', 'Graphics']"
PG0063,"['Audio', 'Balance', 'Multiplayer', 'Management', 'Monetization', 'Gameplay', 'spaCy_noun', 'AI', 'Progression', 'Performance', 'Controls/UX', 'Customer Support', 'Story', 'Graphics']"
PG0064,"['Audio', 'Multiplayer', 'Gameplay', 'spaCy_noun', 'Progression', 'Customer Support', 'Story', 'Cinematics', 'Graphics']"
