ID,Recommendation,Comment,Game Series
PS0001,Not Recommended,"[R] [R] [R] bad , most pathetic dumpster fire game ever [R] [R] [R] developer . [R] every aspect . Game play [R] slow [R] clunky no matter [R] [R] [R] [R] [R] sliders . [R] players ca nt sprint . [R] [R] [R] [R] game completely ignore [R] sprint input more [R] half [R] time . [R] [R] difficulty increase [R] oppose AI [R] not get good , [R] OWN TEAM GETS WORSE . More [R] more passes get misplace , more tackles get miss [R] position end [R] look [R] [R] squad [R] lazy kids [R] [R] never kick [R] football [R] [R] life . Also [R] UI [R] terrible unorganized redundant puddle [R] cat piss . [R] bar [R] FC 24 [R] already low , [R] somehow [R] installment [R] bad [R] every single aspect .",Apex Legends
PS0002,Not Recommended,[R] game [R] not worth [R] 5,Apex Legends
PS0003,Not Recommended,gay,Apex Legends
PS0004,Not Recommended,Server [R] bad [R] eat cereal [R] spoiled milk,Apex Legends
PS0005,Recommended,skibidi,Apex Legends
PS0006,Not Recommended,bad game . feel [R] [R] [R] make [R] 5p,Apex Legends
PS0007,Not Recommended,"[R] [R] [R] deal [R] cheater [R] times [R] [R] suck ! ! EA [R] not care [R] [R] players , [R] only care [R] [R] money [R] money",Apex Legends
PS0008,Recommended,ok,Apex Legends
PS0009,Not Recommended,please fix [R] bug crash,Apex Legends
PS0010,Not Recommended,"Product refund Bought [R] , download [R] , play [R] , refund [R] , [R] within [R] hour . [R] [R] [R] no different [R] EAFC 24 . [R] [R] buggy , laggy [R] glitchy , [R] hallmarks [R] [R] FIFA franchise [R] PC . [R] [R] `` new `` features [R] career mode [R] not [R] [R] , [R] reskins essentially . [R] not [R] fool [R] [R] flashy videos autoplaying , [R] [R] not [R] good [R] [R] . [R] N'T BUY [R] .",Apex Legends
PS0011,Recommended,open game [R] [R] first timeplay career mode [R] 10hrsbroken toe injuiry,Apex Legends
PS0012,Not Recommended,Input delay . Scripts . P2W.EA Servers [R] .,Apex Legends
PS0013,Not Recommended,[R] lot [R] bugs make [R] feel [R] [R] unfinished game . [R] [R] [R] bad FIFA game [R] [R] ever play .,Apex Legends
PS0014,Not Recommended,SA IMI BAG PULA [R] FIFA UL VOSTRU CA NICI FIFA NU MAI E CU GAMEPLAY UL VOSTRU SI SERVERELE VOASTRE SA VA ARDA MATELE CAND MANCATI SI SA VA CACATI SANGE SA NU VI SE MAI SCOALE PULA DIMINEATA,Apex Legends
PS0015,Not Recommended,           ,Apex Legends
PS0016,Recommended,[R],Apex Legends
PS0017,Not Recommended,Game not accessible . Servers [R] [R] [R] therefore [R] [R] not use [R] [R] pay full price [R] . [R] [R] [R] not worth [R] purchase due [R] [R] technical issues [R] [R] game .,Apex Legends
PS0018,Not Recommended,"WORST GAME [R] [R] TIME [R] [R] PAST 10002948 YEARS . [R] CAVEMEN BACK [R] SINCE [R] LAST GOOD EA SPORTS GAME COULD [R] MADE [R] BETTER GAME DESIGN [R] STRUCTURE [R] STICKS [R] STONES [R] [R] BRAIDED NUT HAIRS [R] [R] GROUP [R] UNINTELLIGENT RTADS [R] [R] [R] BUDGET [R] [R] [R] BILLION DOLLARS [R] YEAR . [R] GAME CONTINUES [R] MAKE [R] QUESTION LIFE [R] [R] ABILITY [R] [R] MORONIC , BLUE HAIRED , FAT , GREASY , OGRE , BIAS , SELFISH , LAZY , BLIND , DEAF , BRAIN DEAD , WHELCHAIR VGETABLES [R] CONTINUE [R] PUT [R] SAME GARBAGE PIECE [R] SHT GAME [R] [R] YEAR . [R] [R] [R] TAKING EVERY ONE [R] [R] 8 EMPLOYEES [R] COURT [R] SUE [R] DEGENERATE AE [R] MILLION [R] PAYDAY ! ! . [R] [R] OTHERS WORDS [R] GREATLY DETAILED PARAGRAPHS [R] WRITE [R] [R] FELT [R] THOUGH [R] [R] [R] DESCRIPTIVE , [R] KNEW [R] WOULD GET BANNED [R] EVEN RECEIVE JAIL TIME",Apex Legends
PS0019,Not Recommended,Classic eafifa buggedshit [R] always say [R] [R] not buy game next years [R] [R] still buy [R],Apex Legends
PS0020,Not Recommended,"Product refund Added [R] match intros [R] manager career mode , [R] not [R] player career mode ? EA [R] never make [R] sense [R] [R] logic always manage [R] annoy almost [R]",Apex Legends
PS0021,Not Recommended,24 [R] [R] lot good,Apex Legends
PS0022,Recommended,"[R] [R] press [R] [R] expect [R] cross [R] [R] box , [R] [R] [R] [R] [R] [R] run [R] ball [R] [R] play 1010 ea [R] wonders",Apex Legends
PS0023,Recommended,10x good [R] fc24,Apex Legends
PS0024,Recommended,mue steaua,Apex Legends
PS0025,Recommended,[R] game [R] [R] amazing [R] imaculate [R] [R] want [R] ijaculate,Apex Legends
PS0026,Not Recommended,[R] [R] 100 hours [R] [R] game . [R] [R] game . [R] [R] [R] know [R] [R] [R] [R] handicap [R] [R] game [R] [R] [R] [R] say [R] [R] experience [R] [R] [R] [R] [R] [R] online season division 1 [R] [R] also saw [R] opponents [R] handicap [R] also [R] [R] few matches [R] [R] handicap [R] [R] [R] terrible [R] [R] [R] play [R] [R] [R] [R] [R] systemgame determine [R] [R] game [R] [R] [R] [R] play [R] . Pay attention [R] may not win [R] often [R] [R] may not lose [R] often . [R] [R] [R] [R] script [R] [R] game works . Theres dda [R] FC25 100and [R] [R] FUT game mode [R] [R] already [R] players [R] know [R] [R] really mean `` loot cards `` money grab system .,Apex Legends
PS0027,Not Recommended,"[R] Good Inside [R] match [R] [R] gameplay [R] not bad , [R] `` simulation `` sliders make [R] [R] bit more realistic [R] [R] way [R] players feel [R] play feel more accurate [R] reality . [R] Bad [R] menu [R] [R] [R] UI [R] not good [R] comfortable , specially [R] career mode [R] new menu [R] tactics area take [R] long time [R] get use [R] [R] [R] still complicated , [R] remove [R] adjust position option [R] [R] think [R] absurd . Also , [R] music [R] bad , probably [R] bad soundtrack [R] [R] ever get . [R] Ugly [R] [R] still [R] abuse [R] scripting . Fans [R] [R] ask EA [R] years [R] remove [R] [R] not only [R] [R] not remove [R] , [R] double [R] . [R] [R] [R] [R] [R] [R] against [R] [R] `` suppose `` [R] `` mean [R] `` happen , [R] [R] terrible . [R] [R] [R] bugs still , one [R] [R] [R] [R] Rush games [R] career , [R] [R] [R] chance [R] controller disconnect , [R] [R] [R] [R] quit [R] game . [R] bad [R] [R] [R] game [R] [R] lack [R] international teams ... [R] not even enough national teams [R] [R] world cup , lol , [R] could not even give us measly 32 teams . please fix [R] [R] [R] game [R] [R] update . [R] would not recommend [R] game !",Apex Legends
PS0028,Recommended,NO MORE GLITCH,Apex Legends
PS0029,Recommended,[R] [R] [R] [R] amazing game ! [R] [R] buy [R] ! pls give mbappe EA [R] [R] [R] real madrid team pls help,Apex Legends
