id,category_cluster
PS0001,"['Controls/UX', 'Gameplay', 'Graphics', 'spaCy_noun', 'Audio']"
PS0004,"['Business', 'spaCy_noun']"
PS0006,['Gameplay']
PS0007,"['spaCy_noun', 'Management', 'Community', 'Gameplay']"
PS0009,"['Management', 'Gameplay']"
PS0010,"['Gameplay', 'Innovation', 'Customer Support', 'spaCy_noun', 'Audio']"
PS0011,['spaCy_noun']
PS0012,"['spaCy_noun', 'Controls/UX']"
PS0013,"['spaCy_noun', 'Gameplay']"
PS0014,"['spaCy_noun', 'Gameplay']"
PS0017,"['Business', 'spaCy_noun', 'Monetization', 'Gameplay']"
PS0018,"['Gameplay', 'Graphics', 'Multiplayer', 'Progression', 'spaCy_noun']"
PS0019,['spaCy_noun']
PS0020,"['Customer Support', 'Cinematics', 'spaCy_noun', 'Gameplay']"
PS0021,['spaCy_noun']
PS0022,"['Story', 'spaCy_noun', 'Gameplay']"
PS0023,['spaCy_noun']
PS0024,['spaCy_noun']
PS0025,['spaCy_noun']
PS0026,"['spaCy_noun', 'Monetization', 'Controls/UX', 'Gameplay']"
PS0027,"['Modding', 'Controls/UX', 'Gameplay', 'Graphics', 'Balance', 'Multiplayer', 'Monetization', 'Progression', 'spaCy_noun', 'Audio']"
PS0028,['Gameplay']
PS0029,"['spaCy_noun', 'Monetization']"
PS0030,"['Modding', 'Performance', 'Gameplay', 'Multiplayer', 'Monetization', 'spaCy_noun', 'Management']"
PS0031,"['spaCy_noun', 'Gameplay']"
PS0032,['spaCy_noun']
PS0034,['spaCy_noun']
PS0035,['spaCy_noun']
PS0037,['spaCy_noun']
PS0038,['spaCy_noun']
PS0039,"['spaCy_noun', 'Controls/UX', 'Gameplay']"
PS0040,['spaCy_noun']
PS0041,"['Customer Support', 'spaCy_noun', 'Gameplay']"
PS0042,['spaCy_noun']
PS0043,['spaCy_noun']
PS0044,"['Controls/UX', 'Gameplay', 'Story', 'Monetization', 'Progression', 'Community', 'Customer Support', 'spaCy_noun', 'Management']"
PS0045,"['Customer Support', 'spaCy_noun']"
PS0046,['spaCy_noun']
PS0047,['spaCy_noun']
PS0048,['spaCy_noun']
PS0049,"['spaCy_noun', 'Management', 'Gameplay']"
PS0050,"['Customer Support', 'spaCy_noun']"
PS0051,"['spaCy_noun', 'Controls/UX']"
PS0053,['spaCy_noun']
PS0054,['spaCy_noun']
PS0055,['spaCy_noun']
PS0057,['spaCy_noun']
PS0058,['Customer Support']
PS0060,"['Performance', 'Gameplay', 'Balance', 'Multiplayer', 'Platform', 'Monetization', 'Customer Support', 'spaCy_noun']"
PS0061,"['spaCy_noun', 'Progression', 'Management']"
PS0062,"['Business', 'Story', 'spaCy_noun']"
PS0063,"['Customer Support', 'Cinematics', 'spaCy_noun', 'Management']"
PS0068,"['spaCy_noun', 'Gameplay']"
PS0069,"['Graphics', 'spaCy_noun', 'Audio', 'Gameplay']"
PS0070,"['Gameplay', 'Graphics', 'Innovation', 'Balance', 'Multiplayer', 'spaCy_noun']"
PS0072,"['spaCy_noun', 'Controls/UX']"
PS0075,['spaCy_noun']
PS0076,['spaCy_noun']
PS0077,"['spaCy_noun', 'Gameplay']"
PS0079,['spaCy_noun']
PS0080,"['spaCy_noun', 'Controls/UX', 'Gameplay']"
PS0082,['Audio']
PS0083,['spaCy_noun']
PS0085,['spaCy_noun']
PS0087,"['Customer Support', 'Multiplayer', 'Gameplay']"
PS0088,"['spaCy_noun', 'Audio']"
PS0089,"['Controls/UX', 'Gameplay', 'Story', 'Graphics', 'spaCy_noun']"
PS0094,"['Customer Support', 'spaCy_noun', 'Performance', 'Gameplay']"
PS0095,['spaCy_noun']
PS0096,['spaCy_noun']
PS0097,['spaCy_noun']
PS0098,"['Graphics', 'spaCy_noun']"
PS0099,['spaCy_noun']
PS0101,['spaCy_noun']
PS0102,"['Customer Support', 'Controls/UX', 'Gameplay', 'Performance', 'Graphics', 'Balance', 'Multiplayer', 'Platform', 'spaCy_noun']"
PS0103,"['Performance', 'Gameplay', 'Story', 'Controls/UX', 'Customer Support', 'spaCy_noun']"
PS0105,['spaCy_noun']
PS0107,['spaCy_noun']
PS0109,"['spaCy_noun', 'Gameplay']"
PS0112,['spaCy_noun']
PS0113,['spaCy_noun']
PS0114,['Graphics']
PS0115,"['spaCy_noun', 'Audio', 'Gameplay']"
PS0116,"['Graphics', 'spaCy_noun', 'Gameplay']"
PS0117,"['Performance', 'Gameplay', 'Graphics', 'Balance', 'Customer Support', 'spaCy_noun']"
PS0118,"['Customer Support', 'spaCy_noun', 'Monetization', 'Community']"
PS0119,['spaCy_noun']
PS0120,"['spaCy_noun', 'Audio']"
PS0121,['spaCy_noun']
PS0123,['spaCy_noun']
PS0124,['spaCy_noun']
PS0125,"['spaCy_noun', 'Gameplay']"
PS0127,['spaCy_noun']
PS0128,"['spaCy_noun', 'Modding', 'Controls/UX', 'Gameplay']"
PS0130,['Customer Support']
PS0131,['spaCy_noun']
PS0132,"['Audio', 'spaCy_noun', 'Controls/UX', 'Gameplay']"
PS0133,['spaCy_noun']
PS0135,['spaCy_noun']
PS0136,['spaCy_noun']
PS0137,['spaCy_noun']
PS0139,"['spaCy_noun', 'DRM', 'Progression', 'Gameplay']"
PS0140,"['Story', 'spaCy_noun', 'Audio']"
PS0142,['spaCy_noun']
PS0143,"['Gameplay', 'Story', 'Multiplayer', 'Community', 'spaCy_noun']"
PS0144,['spaCy_noun']
PS0145,['spaCy_noun']
PS0147,['spaCy_noun']
PS0149,"['Story', 'Customer Support', 'spaCy_noun', 'Gameplay']"
PS0151,['spaCy_noun']
PS0152,['spaCy_noun']
PS0153,['spaCy_noun']
PS0154,['spaCy_noun']
PS0155,"['Customer Support', 'Controls/UX', 'Gameplay', 'Platform', 'spaCy_noun', 'DRM', 'Management']"
PS0156,['spaCy_noun']
PS0158,"['Performance', 'spaCy_noun', 'Controls/UX', 'Gameplay']"
PS0159,"['spaCy_noun', 'Progression', 'Gameplay']"
PS0160,['spaCy_noun']
PS0162,['Community']
PS0163,"['spaCy_noun', 'Progression']"
PS0166,['spaCy_noun']
PS0169,['spaCy_noun']
PS0170,['spaCy_noun']
PS0171,['spaCy_noun']
PS0172,"['Performance', 'Gameplay', 'Story', 'spaCy_noun', 'Management']"
PS0173,['spaCy_noun']
PS0174,['spaCy_noun']
PS0175,"['spaCy_noun', 'Audio', 'Gameplay']"
PS0176,['Audio']
PS0177,['spaCy_noun']
PS0178,"['spaCy_noun', 'Audio']"
PS0179,"['Multiplayer', 'spaCy_noun', 'Balance']"
PS0180,['spaCy_noun']
PS0181,['spaCy_noun']
PS0182,"['spaCy_noun', 'Graphics']"
PS0184,['Audio']
PS0185,"['Controls/UX', 'Gameplay', 'Story', 'Graphics', 'Progression', 'Customer Support', 'spaCy_noun', 'Management', 'Audio']"
PS0186,['spaCy_noun']
PS0188,['spaCy_noun']
PS0190,['spaCy_noun']
PS0191,['spaCy_noun']
PS0192,['Graphics']
PS0193,['Audio']
PS0194,['spaCy_noun']
PS0195,['spaCy_noun']
PS0196,['spaCy_noun']
PS0197,['Gameplay']
PS0199,"['Business', 'spaCy_noun']"
PS0200,['spaCy_noun']
PS0201,['spaCy_noun']
PS0204,['spaCy_noun']
PS0205,['spaCy_noun']
PS0207,['spaCy_noun']
PS0208,"['spaCy_noun', 'Gameplay']"
PS0213,"['Performance', 'Gameplay', 'Story', 'Controls/UX', 'Cinematics', 'Graphics', 'Balance', 'Monetization', 'spaCy_noun', 'Audio']"
PS0215,"['spaCy_noun', 'Management']"
PS0216,"['spaCy_noun', 'Controls/UX', 'Graphics']"
PS0217,['spaCy_noun']
PS0218,['spaCy_noun']
PS0220,"['Multiplayer', 'spaCy_noun', 'Controls/UX', 'Performance']"
PS0221,['spaCy_noun']
PS0222,"['Customer Support', 'spaCy_noun']"
PS0223,"['Story', 'Customer Support', 'spaCy_noun', 'Gameplay']"
PS0225,"['Controls/UX', 'Gameplay', 'Performance', 'Business', 'Multiplayer', 'Monetization', 'spaCy_noun']"
PS0226,"['Gameplay', 'Balance', 'Progression', 'spaCy_noun', 'Audio']"
PS0227,['Gameplay']
PS0228,['spaCy_noun']
PS0232,"['Customer Support', 'spaCy_noun']"
PS0234,['spaCy_noun']
PS0235,"['spaCy_noun', 'Progression']"
PS0236,['spaCy_noun']
PS0237,['spaCy_noun']
PS0238,['spaCy_noun']
PS0239,['spaCy_noun']
PS0243,['Gameplay']
PS0244,"['spaCy_noun', 'Gameplay']"
PS0246,"['Controls/UX', 'Gameplay', 'Story', 'Performance', 'Business', 'spaCy_noun']"
PS0247,['spaCy_noun']
PS0248,"['spaCy_noun', 'Gameplay']"
PS0250,['spaCy_noun']
PS0251,['spaCy_noun']
PS0252,['spaCy_noun']
PS0253,"['spaCy_noun', 'Audio']"
PS0254,['spaCy_noun']
PS0255,['spaCy_noun']
PS0256,"['Customer Support', 'spaCy_noun', 'Progression', 'Gameplay']"
PS0257,"['Business', 'spaCy_noun']"
PS0258,"['Platform', 'spaCy_noun']"
PS0259,"['spaCy_noun', 'Performance']"
PS0260,"['spaCy_noun', 'Audio', 'Balance']"
PS0261,['spaCy_noun']
PS0264,['spaCy_noun']
PS0265,['spaCy_noun']
PS0266,"['Gameplay', 'Graphics', 'Multiplayer', 'Monetization', 'Customer Support', 'spaCy_noun']"
PS0267,['spaCy_noun']
PS0268,['spaCy_noun']
PS0269,"['Business', 'spaCy_noun']"
PS0270,['spaCy_noun']
PS0271,['spaCy_noun']
PS0272,['spaCy_noun']
PS0273,['spaCy_noun']
PS0274,"['Story', 'spaCy_noun']"
PS0275,['spaCy_noun']
PS0276,"['Customer Support', 'Community', 'Platform', 'spaCy_noun', 'DRM']"
PS0277,['spaCy_noun']
PS0278,['spaCy_noun']
PS0279,['spaCy_noun']
PS0281,['Gameplay']
PS0282,"['spaCy_noun', 'Audio']"
PS0283,['Audio']
PS0285,"['Controls/UX', 'Gameplay', 'Graphics', 'spaCy_noun', 'Audio']"
PS0286,"['Controls/UX', 'Gameplay', 'Platform', 'Progression', 'Customer Support', 'spaCy_noun', 'Audio']"
PS0287,"['Business', 'spaCy_noun', 'Progression']"
PS0288,['spaCy_noun']
PS0289,"['spaCy_noun', 'Gameplay']"
PS0290,"['spaCy_noun', 'Gameplay']"
PS0294,['Audio']
PS0296,"['Gameplay', 'Story', 'Progression', 'spaCy_noun', 'Management']"
PS0297,['spaCy_noun']
PS0298,['spaCy_noun']
PS0299,"['Business', 'Customer Support', 'spaCy_noun']"
PS0300,"['spaCy_noun', 'Gameplay']"
PS0301,"['spaCy_noun', 'Modding']"
PS0303,"['Platform', 'spaCy_noun', 'Gameplay']"
PS0304,"['Business', 'spaCy_noun', 'Progression', 'Audio']"
PS0305,['spaCy_noun']
PS0306,['spaCy_noun']
PS0307,['spaCy_noun']
PS0309,['spaCy_noun']
PS0311,['Audio']
PS0314,['spaCy_noun']
PS0315,['spaCy_noun']
PS0317,"['Business', 'spaCy_noun', 'Graphics']"
PS0318,['spaCy_noun']
PS0321,['spaCy_noun']
PS0322,['spaCy_noun']
