id,average_polarity,sentiment_class
PS0001,-0.07958275862068966,mixed negative
PS0004,-0.18076666666666666,mixed negative
PS0006,0.0,neutral
PS0007,-0.343675,mixed negative
PS0009,0.0,neutral
PS0010,0.02266666666666667,mixed positive
PS0011,0.0,neutral
PS0012,-0.3182,mixed negative
PS0013,-0.135575,mixed negative
PS0014,0.0,neutral
PS0017,0.0,neutral
PS0018,0.06037333333333333,mixed positive
PS0019,0.0,neutral
PS0020,0.0,neutral
PS0021,0.4404,strongly positive
PS0022,0.068,mixed positive
PS0023,0.4404,strongly positive
PS0024,0.0,neutral
PS0025,0.5859,strongly positive
PS0026,0.00894545454545455,mixed positive
PS0027,-0.027840909090909093,mixed negative
PS0028,0.0,neutral
PS0029,0.16076,mixed positive
PS0030,-0.0233,mixed negative
PS0031,0.0,neutral
PS0032,0.0,neutral
PS0034,0.0,neutral
PS0035,0.0,neutral
PS0037,0.0,neutral
PS0038,0.0,neutral
PS0039,-0.07524285714285714,mixed negative
PS0040,0.0,neutral
PS0041,-0.3637,mixed negative
PS0042,0.0,neutral
PS0043,0.0,neutral
PS0044,0.0030396226415094325,mixed positive
PS0045,-0.1806,mixed negative
PS0046,0.0,neutral
PS0047,0.0,neutral
PS0048,-0.5423,strongly negative
PS0049,0.17,mixed positive
PS0050,-0.3058666666666667,mixed negative
PS0051,0.0,neutral
PS0053,0.0,neutral
PS0054,0.0,neutral
PS0055,0.2553,mixed positive
PS0057,-0.5423,strongly negative
PS0058,-0.1027,mixed negative
PS0060,0.06683243243243243,mixed positive
PS0061,-0.100475,mixed negative
PS0062,0.04295714285714285,mixed positive
PS0063,0.0,neutral
PS0068,0.13212000000000002,mixed positive
PS0069,0.09786666666666667,mixed positive
PS0070,0.13341904761904763,mixed positive
PS0072,0.1468,mixed positive
PS0075,0.0,neutral
PS0076,0.0,neutral
PS0077,0.0772,mixed positive
PS0079,0.0,neutral
PS0080,0.255,mixed positive
PS0082,0.0,neutral
PS0083,0.0,neutral
PS0085,0.0,neutral
PS0087,0.0,neutral
PS0088,0.6369,strongly positive
PS0089,0.048933333333333336,mixed positive
PS0094,0.05146666666666667,mixed positive
PS0095,0.3612,mixed positive
PS0096,0.0,neutral
PS0097,0.0,neutral
PS0098,0.08808,mixed positive
PS0099,0.0,neutral
PS0101,0.0,neutral
PS0102,0.10530930232558139,mixed positive
PS0103,0.0,neutral
PS0105,0.0,neutral
PS0107,0.2023,mixed positive
PS0109,0.0,neutral
PS0112,0.0,neutral
PS0113,0.0,neutral
PS0114,0.0,neutral
PS0115,0.49412500000000004,strongly positive
PS0116,0.01935,mixed positive
PS0117,0.20713157894736844,mixed positive
PS0118,0.12091250000000002,mixed positive
PS0119,0.0,neutral
PS0120,0.2553,mixed positive
PS0121,0.0,neutral
PS0123,0.0,neutral
PS0124,0.0,neutral
PS0125,0.1622142857142857,mixed positive
PS0127,0.09878,mixed positive
PS0128,-0.2144625,mixed negative
PS0130,-0.5423,strongly negative
PS0131,0.0,neutral
PS0132,-0.3542444444444445,mixed negative
PS0133,0.28896,mixed positive
PS0135,0.0,neutral
PS0136,0.0,neutral
PS0137,0.0,neutral
PS0139,0.018481818181818186,mixed positive
PS0140,0.0,neutral
PS0142,0.0,neutral
PS0143,-0.2732,mixed negative
PS0144,0.4404,strongly positive
PS0145,0.0,neutral
PS0147,0.0,neutral
PS0149,-0.049333333333333326,mixed negative
PS0151,0.0,neutral
PS0152,0.4404,strongly positive
PS0153,0.0,neutral
PS0154,0.0,neutral
PS0155,0.11198181818181818,mixed positive
PS0156,0.0,neutral
PS0158,-0.1600222222222222,mixed negative
PS0159,0.0,neutral
PS0160,0.0,neutral
PS0162,-0.27115,mixed negative
PS0163,0.0425,mixed positive
PS0166,0.0,neutral
PS0169,0.5106,strongly positive
PS0170,0.0,neutral
PS0171,0.0,neutral
PS0172,-0.14301,mixed negative
PS0173,0.0,neutral
PS0174,0.0,neutral
PS0175,0.5714,strongly positive
PS0176,0.0,neutral
PS0177,0.34,mixed positive
PS0178,0.2553,mixed positive
PS0179,-0.22939999999999997,mixed negative
PS0180,0.34,mixed positive
PS0181,0.0,neutral
PS0182,0.2553,mixed positive
PS0184,0.6369,strongly positive
PS0185,0.05210232558139535,mixed positive
PS0186,0.0,neutral
PS0188,0.0,neutral
PS0190,0.0,neutral
PS0191,0.0,neutral
PS0192,0.0,neutral
PS0193,0.6369,strongly positive
PS0194,0.0,neutral
PS0195,0.4404,strongly positive
PS0196,0.0,neutral
PS0197,0.0,neutral
PS0199,0.0,neutral
PS0200,0.0,neutral
PS0201,0.0,neutral
PS0204,0.0,neutral
PS0205,0.04937142857142857,mixed positive
PS0207,-0.5719,strongly negative
PS0208,0.0,neutral
PS0213,-0.04021578947368421,mixed negative
PS0215,0.0,neutral
PS0216,-0.09878,mixed negative
PS0217,0.0,neutral
PS0218,0.0,neutral
